"Author","Average Rating"
"Dan Simmons","5.0"
"Peter F. Hamilton","5.0"
"Richard Dawkins","5.0"
"Carl Sagan","5.0"
"James S.A. Corey","4.88"
"Alastair Reynolds","4.8"
"Kurt Vonnegut Jr.","4.8"
"Isaac Asimov","4.71"
"Arthur C. Clarke","4.67"
"N.K. Jemisin","4.67"
"Ursula K. Le Guin","4.67"
"Liu Cixin","4.67"
"John Scalzi","4.67"
"Derek Künsken","4.5"
"Iain M. Banks","4.44"
"Dennis E. Taylor","4.33"
"Adrian Tchaikovsky","4.33"
"Philip K. Dick","4.25"
"Robert A. Heinlein","4.0"
"Kameron Hurley","2.5"
