"Author","Book Count"
"Isaac Asimov","14"
"Peter F. Hamilton","12"
"Iain M. Banks","11"
"Alastair Reynolds","11"
"James S.A. Corey","8"
"John Scalzi","7"
"Joe Abercrombie","7"
"Peter V. Brett","5"
"Philip K. Dick","5"
"Kurt Vonnegut Jr.","5"
"Adrian Tchaikovsky","4"
"Ursula K. Le Guin","3"
"K.J. Parker","3"
"Dennis E. Taylor","3"
"Arthur C. Clarke","3"
"N.K. Jemisin","3"
"Liu Cixin","3"
"Scott Lynch","3"
"Ed McDonald","3"
"Derek Künsken","2"
"Madeline Miller","2"
"Richard Dawkins","2"
"Robert A. Heinlein","2"
"Blake Crouch","2"
"Kameron Hurley","2"
"Dan Simmons","2"
"Carl Sagan","2"
"Walter Tevis","2"
"Alfred Bester","2"
"Peter Watts","2"
"Marko Kloos","1"
"Emily St. John Mandel","1"
"Simone Caroti","1"
"Carlo Rovelli","1"
"Andy Weir","1"
"Frederik Pohl","1"
"Orson Scott Card","1"
"John Steakley","1"
"Douglas Adams","1"
"Ted Chiang","1"
"Walter M. Miller Jr.","1"
"Joe Haldeman","1"
"Neil Gaiman","1"
"V.E. Schwab","1"
"C. Robert Cargill","1"
"Hugh Howey","1"
"Arkady Martine","1"
"Chris Hadfield","1"
"Yevgeny Zamyatin","1"
"Marcus Chown","1"
"Vernor Vinge","1"
"Poul Anderson","1"
"Daniel Keyes","1"
"Arkady Strugatsky","1"
"Ray Bradbury","1"
"Gareth L. Powell","1"
"K.K. Edin","1"
"Olaf Stapledon","1"
"Robert Charles Wilson","1"
"Frank Herbert","1"
"Nicholas Eames","1"
"Roger Zelazny","1"
"Margaret Atwood","1"
