"Book","Date Finished","Publication Year"
"Leviathan Wakes by James S.A. Corey","2018-06-04","2011"
"Caliban's War by James S.A. Corey","2018-07-05","2012"
"Abaddon's Gate by James S.A. Corey","2018-07-10","2013"
"Cibola Burn by James S.A. Corey","2018-07-23","2014"
"Nemesis Games by James S.A. Corey","2018-07-30","2015"
"Babylon's Ashes by James S.A. Corey","2018-08-07","2016"
"Persepolis Rising by James S.A. Corey","2018-08-14","2017"
"Children of Time by Adrian Tchaikovsky","2018-08-21","2015"
"The Three-Body Problem by Liu Cixin","2018-08-25","2006"
"The Dark Forest by Liu Cixin","2018-08-30","2008"
"Dogs of War by Adrian Tchaikovsky","2018-09-04","2017"
"Prelude to Foundation by Isaac Asimov","2018-09-09","1988"
"Death's End by Liu Cixin","2018-09-15","2010"
"The Forever War by Joe Haldeman","2018-09-18","1974"
"We Are Legion (We Are Bob) by Dennis E. Taylor","2018-09-25","2016"
"Forward the Foundation by Isaac Asimov","2018-09-30","1993"
"Foundation by Isaac Asimov","2018-10-03","1951"
"Foundation and Empire by Isaac Asimov","2018-10-09","1952"
"Second Foundation by Isaac Asimov","2018-10-13","1953"
"For We Are Many by Dennis E. Taylor","2018-10-15","2017"
"All These Worlds by Dennis E. Taylor","2018-10-18","2017"
"Ubik by Philip K. Dick","2018-10-23","1969"
"The Sirens of Titan by Kurt Vonnegut Jr.","2018-10-26","1959"
"The Dispossessed by Ursula K. Le Guin","2018-10-31","1974"
"House of Suns by Alastair Reynolds","2018-11-04","2008"
"Dark Matter by Blake Crouch","2018-11-08","2016"
"Roadside Picnic by Arkady Strugatsky","2018-11-10","1972"
"Pandora's Star by Peter F. Hamilton","2018-11-23","2004"
"Judas Unchained by Peter F. Hamilton","2018-12-08","2005"
"Do Androids Dream of Electric Sheep? by Philip K. Dick","2018-12-10","1968"
"The End of Eternity by Isaac Asimov","2018-12-11","1955"
"Blindsight by Peter Watts","2018-12-17","2006"
"The Moon is a Harsh Mistress by Robert A. Heinlein","2018-12-20","1966"
"The Lathe of Heaven by Ursula K. Le Guin","2018-12-21","1971"
"Cat's Cradle by Kurt Vonnegut Jr.","2018-12-27","1963"
"Hyperion by Dan Simmons","2019-01-04","1989"
"The Fall of Hyperion by Dan Simmons","2019-01-11","1990"
"Foundation's Edge by Isaac Asimov","2019-01-17","1982"
"""I, Robot"" by Isaac Asimov","2019-01-23","1950"
"The Caves of Steel by Isaac Asimov","2019-01-26","1954"
"The Naked Sun by Isaac Asimov","2019-01-27","1956"
"The Robots of Dawn by Isaac Asimov","2019-01-31","1983"
"Robots and Empire by Isaac Asimov","2019-02-06","1985"
"Foundation and Earth by Isaac Asimov","2019-02-09","1986"
"Sirius by Olaf Stapledon","2019-02-12","1944"
"The Stars My Destination by Alfred Bester","2019-02-17","1955"
"Mother Night by Kurt Vonnegut Jr.","2019-02-21","1961"
"An Astronaut's Guide to Life on Earth by Chris Hadfield","2019-02-24","2013"
"The Dreaming Void by Peter F. Hamilton","2019-03-04","2007"
"The Temporal Void by Peter F. Hamilton","2019-03-13","2008"
"The Evolutionary Void by Peter F. Hamilton","2019-03-25","2009"
"Starship Troopers by Robert A. Heinlein","2019-03-30","1959"
"Flowers for Algernon by Daniel Keyes","2019-04-01","1966"
